symptoms,disease
"fever,cough,fatigue,headache",Flu
"runny nose,sneezing,sore throat,mild cough",Common Cold
"cough,shortness of breath,wheezing,chest tightness",Asthma
"fever,chills,headache,muscle aches,sweats",Malaria
"fever,abdominal pain,diarrhea,rose-colored spots",Typhoid Fever
"skin rash,fever,cough,runny nose",Measles
"sore throat,fever,swollen glands,fatigue",Mononucleosis
"burning urination,frequent urination,cloudy urine,urgency",Urinary Tract Infection
"vaginal discharge,itching,irritation,odor",Yeast Infection
"ear pain,fever,hearing loss,ear fullness",Ear Infection
"cough,fever,shortness of breath,chest pain",Pneumonia
"skin rash,blisters,itching,pain",Shingles
"high fever,headache,rash,joint pain,muscle pain",Dengue Fever
"coughing up blood,chest pain,shortness of breath,weight loss",Lung Cancer
"difficulty breathing,wheezing,chest tightness,cyanosis",Anaphylaxis
"wheezing,cough,shortness of breath,mucus production",Bronchitis
"fever,cough,shortness of breath,loss of taste/smell",COVID-19
"sore throat,difficulty swallowing,fever,swollen tonsils",Tonsillitis
"hoarseness,voice loss,sore throat,cough",Laryngitis
"abdominal pain,diarrhea,vomiting,nausea",Gastroenteritis
"fever,headache,stiff neck,nausea,vomiting",Meningitis
"skin rash,itching,fever,small blisters",Chickenpox
"fatigue,weight loss,night sweats,persistent cough",Tuberculosis
"joint pain,fever,rash,muscle pain",Chikungunya
"fever,swollen glands,fatigue,opportunistic infections",HIV/AIDS
"yellowing of skin/eyes,abdominal pain,dark urine,fatigue",Hepatitis
"headache,fatigue,muscle aches,bullseye rash",Lyme Disease
"eye redness,itching,watering,discharge",Conjunctivitis
"cold sores,blisters around mouth,tingling",Herpes Simplex
"canker sores,painful ulcers in mouth,burning sensation",Aphthous Ulcer
"mouth ulcers,pain,difficulty eating",Mouth Ulcer
"muscle weakness,paralysis,respiratory failure",Polio
"skin lesions,nerve damage,numbness",Leprosy
"fever,headache,muscle pain,rash,conjunctivitis",Zika Virus
"fever,headache,vomiting,confusion,stiff neck",West Nile Virus
"cough,chest pain,fever,weight loss,night sweats",Histoplasmosis
"skin ulcers,swollen lymph nodes,fever",Leishmaniasis
"muscle pain,weakness,dark urine,fever",Trichinosis
"chest pain,shortness of breath,pain radiating to arm/jaw",Heart Attack
"chest pain,irregular heartbeat,palpitations,dizziness",Arrhythmia
"shortness of breath,swollen ankles,fatigue,cough",Heart Failure
"high blood pressure,headache,nosebleeds,blurred vision",Hypertension
"chest tightness,cough with mucus,shortness of breath,wheezing",COPD
"leg pain,cramping during exercise,numbness,cold feet",Peripheral Artery Disease
"chest pain,shortness of breath,fainting,coughing up blood",Pulmonary Embolism
"leg swelling,pain,redness,warmth",Deep Vein Thrombosis
"leg ulcers,pain,swelling,skin discoloration",Venous Ulcer
"rapid heartbeat,weight loss,anxiety,tremors",Hyperthyroidism
"fatigue,muscle weakness,weight gain,cold intolerance",Hypothyroidism
"chest pain,fever,pericardial friction rub,shortness of breath",Pericarditis
"shortness of breath,fatigue,cyanosis,chest pain",Eisenmenger's Syndrome
"chest pain,palpitations,syncope,sudden cardiac arrest",Brugada Syndrome
"headache,stiff neck,fever,photophobia,confusion",Meningitis
"headache,dizziness,nausea,vomiting,confusion",Concussion
"facial drooping,weakness on one side of face,drooling",Bell's Palsy
"vision loss,tunnel vision,eye pain",Glaucoma
"cloudy vision,blurred vision,halos around lights",Cataracts
"ringing in ears,buzzing,hissing",Tinnitus
"severe headache,nausea,vomiting,sensitivity to light/sound",Migraine
"seizures,loss of consciousness,convulsions",Epilepsy
"difficulty swallowing,drooling,weakness in face/arms/legs",Stroke
"muscle weakness,fatigue,difficulty with coordination,vision problems",Multiple Sclerosis
"tremors,stiffness,slow movement,impaired balance",Parkinson's Disease
"memory loss,confusion,difficulty with familiar tasks",Alzheimer's Disease
"nosebleeds,headache,dizziness",Epistaxis
"difficulty breathing through nose,nasal congestion,facial pain",Deviated Septum
"loss of smell,nasal congestion,facial pain,headache",Sinusitis
"excessive daytime sleepiness,sudden loss of muscle tone,sleep paralysis",Narcolepsy
"leg cramps,restlessness in legs,urge to move legs",Restless Legs Syndrome
"difficulty falling asleep,staying asleep,early morning awakening",Insomnia
"headache, visual disturbances, nausea, vomiting, dizziness", Pseudotumor Cerebri
"tingling, numbness, weakness in limbs, burning pain", Peripheral Neuropathy
"rapidly progressive dementia,myoclonus,ataxia",Creutzfeldt-Jakob Disease
"involuntary movements,cognitive decline,psychiatric problems",Huntington's Disease
"muscle weakness,atrophy,fasciculations,difficulty speaking/swallowing",Amyotrophic Lateral Sclerosis
"severe headache,neck stiffness,photophobia,vomiting,altered mental status",Subarachnoid Hemorrhage
"one-sided paralysis,difficulty speaking,vision problems,loss of coordination", Hemiplegia
"abdominal pain,nausea,vomiting,diarrhea,bloating",Gastroenteritis
"acid reflux,heartburn,regurgitation,chest pain",GERD
"stomach pain,burning sensation,nausea,vomiting,bloating",Gastritis
"stomach ulcers,burning pain,nausea,vomiting,bloating",Peptic Ulcer Disease
"bloating,abdominal discomfort,gas,feeling full quickly",Indigestion
"constipation,straining during bowel movements,hard stools",Constipation
"diarrhea,loose stools,abdominal cramps,urgency",Diarrhea
"abdominal pain,bloating,gas,altered bowel habits (diarrhea/constipation)",Irritable Bowel Syndrome
"bad breath,halitosis,unpleasant taste in mouth",Halitosis
"bleeding gums,swollen gums,red gums,bad breath",Gingivitis
"gum disease,bleeding gums,receding gums,loose teeth",Periodontitis
"sensitive teeth,pain with hot/cold/sweet foods",Dentin Hypersensitivity
"jaw pain,clicking/popping jaw,headache,limited jaw movement",TMJ Disorder
"difficulty opening mouth,jaw pain,muscle spasms",Trismus
"dry mouth,xerostomia,difficulty swallowing,increased risk of cavities",Xerostomia
"frequent urination,excessive thirst,blurred vision,fatigue",Diabetes
"high blood sugar,frequent urination,increased thirst,blurred vision",Hyperglycemia
"low blood sugar,shakiness,sweating,dizziness,confusion",Hypoglycemia

"fatigue,muscle weakness,weight gain,cold intolerance,constipation",Hypothyroidism
"rapid heartbeat,weight loss,anxiety,tremors,heat intolerance",Hyperthyroidism
"dry mouth,blurred vision,dry eyes,fatigue,joint pain",Sjogren's Syndrome
"excessive growth,enlarged hands/feet,thickened skin,joint pain",Acromegaly
"extreme thirst,frequent urination,dehydration,dilute urine",Diabetes Insipidus
"weight gain,fatigue,moon face,easy bruising,muscle weakness",Cushing's Syndrome
"muscle weakness,low blood pressure,hyperpigmentation,fatigue,salt craving",Addison's Disease
"skin rash,itching,redness,hives",Allergic Reaction
"skin redness,blisters,burns,pain,peeling",Sunburn
"skin rash,itching,dryness,scaling,redness",Eczema
"itchy skin,scratching,dryness,skin irritation",Pruritus
"skin discoloration,loss of pigmentation,white patches",Vitiligo
"skin tags,small growths on skin,benign",Skin Tag
"warts,small, rough growths on skin,caused by virus",Wart
"calluses,thickened skin on feet,pressure points",Callus
"corns,hardened skin on toes,pressure points",Corn
"bunions,bony bump on big toe joint,pain",Bunion
"ingrown toenail,pain,redness,swelling around nail",Ingrown Toenail
"athlete's foot,itching,scaling,redness between toes",Athlete's Foot
"psoriasis,red, scaly patches,itching,thickened skin",Psoriasis
"rosacea,facial redness,flushing,visible blood vessels,pimples",Rosacea
"acne,pimples,blackheads,whiteheads,inflammation",Acne
"hair loss,bald patches,thinning hair",Alopecia
"brittle nails,thickened nails,discolored nails,nail fungus",Nail Fungus
"joint pain,swelling,stiffness,limited range of motion",Arthritis
"back pain,leg pain,numbness,tingling,weakness",Sciatica
"muscle cramps,sudden, involuntary muscle contractions,pain",Muscle Cramps
"muscle spasms,involuntary muscle contractions,pain,stiffness",Muscle Spasms
"muscle weakness,fatigue,difficulty performing tasks",Muscle Weakness
"joint stiffness,limited range of motion,pain,swelling",Joint Stiffness
"joint swelling,inflammation,pain,redness,warmth",Joint Swelling
"joint pain,arthralgia,aching,stiffness",Arthralgia
"gout,sudden, severe joint pain,swelling,redness,typically in big toe",Gout
"rheumatoid arthritis,joint pain,swelling,stiffness,fatigue,symmetrical joint involvement",Rheumatoid Arthritis
"osteoarthritis,joint pain,stiffness,swelling,creaking,worsens with activity",Osteoarthritis
"leg cramps,pain in legs,heaviness,swelling",Varicose Veins
"leg swelling,edema,fluid retention,pitting edema",Edema
"foot pain,heel pain,pain with first steps in morning",Plantar Fasciitis
"heel pain,sharp pain,worsens with activity",Heel Spur
"ankle pain,swelling,bruising,difficulty walking",Sprained Ankle
"knee pain,swelling,stiffness,instability",Knee Pain
"shoulder pain,limited range of motion,weakness,stiffness",Shoulder Pain
"elbow pain,pain on outer elbow,tenderness,weakness",Tennis Elbow
"wrist pain,numbness,tingling in hand/fingers,weakness",Carpal Tunnel Syndrome
"hand pain,stiffness,swelling,numbness,tingling",Hand Pain
"finger pain,stiffness,swelling,numbness,tingling",Finger Pain
"neck pain,stiffness,headache,limited range of motion",Neck Pain
"back pain,stiffness,muscle spasms,limited range of motion",Back Pain
